"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","TOT","AGRWTH","M","1996-01",1.646447,
"AUT","CPI","TOT","AGRWTH","M","1996-02",1.638873,
"AUT","CPI","TOT","AGRWTH","M","1996-03",1.805675,
"AUT","CPI","TOT","AGRWTH","M","1996-04",1.632302,
"AUT","CPI","TOT","AGRWTH","M","1996-05",1.489118,
"AUT","CPI","TOT","AGRWTH","M","1996-06",1.654779,
"AUT","CPI","TOT","AGRWTH","M","1996-07",1.869687,
"AUT","CPI","TOT","AGRWTH","M","1996-08",1.859678,
"AUT","CPI","TOT","AGRWTH","M","1996-09",2.01934,
"AUT","CPI","TOT","AGRWTH","M","1996-10",2.11127,
"AUT","CPI","TOT","AGRWTH","M","1996-11",2.255209,
"AUT","CPI","TOT","AGRWTH","M","1996-12",2.342857,
"AUT","CPI","TOT","AGRWTH","M","1997-01",2.074454,
"AUT","CPI","TOT","AGRWTH","M","1997-02",2.008487,
"AUT","CPI","TOT","AGRWTH","M","1997-03",1.632883,
"AUT","CPI","TOT","AGRWTH","M","1997-04",1.718793,
"AUT","CPI","TOT","AGRWTH","M","1997-05",1.946952,
"AUT","CPI","TOT","AGRWTH","M","1997-06",1.403312,
"AUT","CPI","TOT","AGRWTH","M","1997-07",0.472748,
"AUT","CPI","TOT","AGRWTH","M","1997-08",-0.0553246,
"AUT","CPI","TOT","AGRWTH","M","1997-09",0.7248392,
"AUT","CPI","TOT","AGRWTH","M","1997-10",1.257334,
"AUT","CPI","TOT","AGRWTH","M","1997-11",1.17253,
"AUT","CPI","TOT","AGRWTH","M","1997-12",1.367952,
"AUT","CPI","TOT","AGRWTH","M","1998-01",1.197105,
"AUT","CPI","TOT","AGRWTH","M","1998-02",0.9983355,
"AUT","CPI","TOT","AGRWTH","M","1998-03",0.9695298,
"AUT","CPI","TOT","AGRWTH","M","1998-04",1.191136,
"AUT","CPI","TOT","AGRWTH","M","1998-05",0.9964024,
"AUT","CPI","TOT","AGRWTH","M","1998-06",0.8856909,
"AUT","CPI","TOT","AGRWTH","M","1998-07",0.8856909,
"AUT","CPI","TOT","AGRWTH","M","1998-08",0.8856909,
"AUT","CPI","TOT","AGRWTH","M","1998-09",0.8856909,
"AUT","CPI","TOT","AGRWTH","M","1998-10",0.6898463,
"AUT","CPI","TOT","AGRWTH","M","1998-11",0.8002207,
"AUT","CPI","TOT","AGRWTH","M","1998-12",0.6885153,
"AUT","CPI","TOT","AGRWTH","M","1999-01",0.4951849,
"AUT","CPI","TOT","AGRWTH","M","1999-02",0.4942342,
"AUT","CPI","TOT","AGRWTH","M","1999-03",0.4115225,
"AUT","CPI","TOT","AGRWTH","M","1999-04",0.1916239,
"AUT","CPI","TOT","AGRWTH","M","1999-05",0.493285,
"AUT","CPI","TOT","AGRWTH","M","1999-06",0.4115225,
"AUT","CPI","TOT","AGRWTH","M","1999-07",0.4115225,
"AUT","CPI","TOT","AGRWTH","M","1999-08",0.4938264,
"AUT","CPI","TOT","AGRWTH","M","1999-09",0.4938264,
"AUT","CPI","TOT","AGRWTH","M","1999-10",0.7947382,
"AUT","CPI","TOT","AGRWTH","M","1999-11",0.7664934,
"AUT","CPI","TOT","AGRWTH","M","1999-12",1.367614,
"AUT","CPI","TOT","AGRWTH","M","2000-01",1.14974,
"AUT","CPI","TOT","AGRWTH","M","2000-02",1.639344,
"AUT","CPI","TOT","AGRWTH","M","2000-03",1.939891,
"AUT","CPI","TOT","AGRWTH","M","2000-04",1.857923,
"AUT","CPI","TOT","AGRWTH","M","2000-05",1.745296,
"AUT","CPI","TOT","AGRWTH","M","2000-06",2.73224,
"AUT","CPI","TOT","AGRWTH","M","2000-07",2.814207,
"AUT","CPI","TOT","AGRWTH","M","2000-08",2.730003,
"AUT","CPI","TOT","AGRWTH","M","2000-09",3.030304,
"AUT","CPI","TOT","AGRWTH","M","2000-10",2.800434,
"AUT","CPI","TOT","AGRWTH","M","2000-11",3.096985,
"AUT","CPI","TOT","AGRWTH","M","2000-12",2.590395,
"AUT","CPI","TOT","AGRWTH","M","2001-01",3.007673,
"AUT","CPI","TOT","AGRWTH","M","2001-02",2.719028,
"AUT","CPI","TOT","AGRWTH","M","2001-03",2.617394,
"AUT","CPI","TOT","AGRWTH","M","2001-04",3.203404,
"AUT","CPI","TOT","AGRWTH","M","2001-05",3.321631,
"AUT","CPI","TOT","AGRWTH","M","2001-06",2.724395,
"AUT","CPI","TOT","AGRWTH","M","2001-07",2.742249,
"AUT","CPI","TOT","AGRWTH","M","2001-08",2.54275,
"AUT","CPI","TOT","AGRWTH","M","2001-09",2.542247,
"AUT","CPI","TOT","AGRWTH","M","2001-10",2.45168,
"AUT","CPI","TOT","AGRWTH","M","2001-11",1.97482,
"AUT","CPI","TOT","AGRWTH","M","2001-12",1.984523,
"AUT","CPI","TOT","AGRWTH","M","2002-01",2.169625,
"AUT","CPI","TOT","AGRWTH","M","2002-02",1.866405,
"AUT","CPI","TOT","AGRWTH","M","2002-03",1.862745,
"AUT","CPI","TOT","AGRWTH","M","2002-04",1.756098,
"AUT","CPI","TOT","AGRWTH","M","2002-05",1.850049,
"AUT","CPI","TOT","AGRWTH","M","2002-06",1.749271,
"AUT","CPI","TOT","AGRWTH","M","2002-07",1.553398,
"AUT","CPI","TOT","AGRWTH","M","2002-08",1.945525,
"AUT","CPI","TOT","AGRWTH","M","2002-09",1.648885,
"AUT","CPI","TOT","AGRWTH","M","2002-10",1.744186,
"AUT","CPI","TOT","AGRWTH","M","2002-11",1.745878,
"AUT","CPI","TOT","AGRWTH","M","2002-12",1.839303,
"AUT","CPI","TOT","AGRWTH","M","2003-01",1.737452,
"AUT","CPI","TOT","AGRWTH","M","2003-02",1.735776,
"AUT","CPI","TOT","AGRWTH","M","2003-03",1.828681,
"AUT","CPI","TOT","AGRWTH","M","2003-04",1.342282,
"AUT","CPI","TOT","AGRWTH","M","2003-05",1.051625,
"AUT","CPI","TOT","AGRWTH","M","2003-06",1.146132,
"AUT","CPI","TOT","AGRWTH","M","2003-07",1.147228,
"AUT","CPI","TOT","AGRWTH","M","2003-08",1.240458,
"AUT","CPI","TOT","AGRWTH","M","2003-09",1.431298,
"AUT","CPI","TOT","AGRWTH","M","2003-10",1.047619,
"AUT","CPI","TOT","AGRWTH","M","2003-11",1.334604,
"AUT","CPI","TOT","AGRWTH","M","2003-12",1.235741,
"AUT","CPI","TOT","AGRWTH","M","2004-01",1.13852,
"AUT","CPI","TOT","AGRWTH","M","2004-02",1.421801,
"AUT","CPI","TOT","AGRWTH","M","2004-03",1.512287,
"AUT","CPI","TOT","AGRWTH","M","2004-04",1.608325,
"AUT","CPI","TOT","AGRWTH","M","2004-05",2.081362,
"AUT","CPI","TOT","AGRWTH","M","2004-06",2.266289,
"AUT","CPI","TOT","AGRWTH","M","2004-07",2.173913,
"AUT","CPI","TOT","AGRWTH","M","2004-08",2.262017,
"AUT","CPI","TOT","AGRWTH","M","2004-09",2.069614,
"AUT","CPI","TOT","AGRWTH","M","2004-10",2.63902,
"AUT","CPI","TOT","AGRWTH","M","2004-11",2.634055,
"AUT","CPI","TOT","AGRWTH","M","2004-12",2.910798,
"AUT","CPI","TOT","AGRWTH","M","2005-01",2.908067,
"AUT","CPI","TOT","AGRWTH","M","2005-02",2.833415,
"AUT","CPI","TOT","AGRWTH","M","2005-03",2.965249,
"AUT","CPI","TOT","AGRWTH","M","2005-04",2.759319,
"AUT","CPI","TOT","AGRWTH","M","2005-05",2.385628,
"AUT","CPI","TOT","AGRWTH","M","2005-06",2.313801,
"AUT","CPI","TOT","AGRWTH","M","2005-07",2.400798,
"AUT","CPI","TOT","AGRWTH","M","2005-08",2.023283,
"AUT","CPI","TOT","AGRWTH","M","2005-09",2.227126,
"AUT","CPI","TOT","AGRWTH","M","2005-10",1.953183,
"AUT","CPI","TOT","AGRWTH","M","2005-11",1.462202,
"AUT","CPI","TOT","AGRWTH","M","2005-12",1.40292,
"AUT","CPI","TOT","AGRWTH","M","2006-01",1.209677,
"AUT","CPI","TOT","AGRWTH","M","2006-02",1.20603,
"AUT","CPI","TOT","AGRWTH","M","2006-03",1,
"AUT","CPI","TOT","AGRWTH","M","2006-04",1.703407,
"AUT","CPI","TOT","AGRWTH","M","2006-05",1.701702,
"AUT","CPI","TOT","AGRWTH","M","2006-06",1.497006,
"AUT","CPI","TOT","AGRWTH","M","2006-07",1.498502,
"AUT","CPI","TOT","AGRWTH","M","2006-08",1.798202,
"AUT","CPI","TOT","AGRWTH","M","2006-09",1.395813,
"AUT","CPI","TOT","AGRWTH","M","2006-10",1.195219,
"AUT","CPI","TOT","AGRWTH","M","2006-11",1.598402,
"AUT","CPI","TOT","AGRWTH","M","2006-12",1.492537,
"AUT","CPI","TOT","AGRWTH","M","2007-01",1.593626,
"AUT","CPI","TOT","AGRWTH","M","2007-02",1.588878,
"AUT","CPI","TOT","AGRWTH","M","2007-03",1.782178,
"AUT","CPI","TOT","AGRWTH","M","2007-04",1.773399,
"AUT","CPI","TOT","AGRWTH","M","2007-05",1.968504,
"AUT","CPI","TOT","AGRWTH","M","2007-06",1.966568,
"AUT","CPI","TOT","AGRWTH","M","2007-07",2.066929,
"AUT","CPI","TOT","AGRWTH","M","2007-08",1.668302,
"AUT","CPI","TOT","AGRWTH","M","2007-09",2.064897,
"AUT","CPI","TOT","AGRWTH","M","2007-10",2.755906,
"AUT","CPI","TOT","AGRWTH","M","2007-11",3.146509,
"AUT","CPI","TOT","AGRWTH","M","2007-12",3.627451,
"AUT","CPI","TOT","AGRWTH","M","2008-01",3.235294,
"AUT","CPI","TOT","AGRWTH","M","2008-02",3.225806,
"AUT","CPI","TOT","AGRWTH","M","2008-03",3.501945,
"AUT","CPI","TOT","AGRWTH","M","2008-04",3.291384,
"AUT","CPI","TOT","AGRWTH","M","2008-05",3.667954,
"AUT","CPI","TOT","AGRWTH","M","2008-06",3.857281,
"AUT","CPI","TOT","AGRWTH","M","2008-07",3.760849,
"AUT","CPI","TOT","AGRWTH","M","2008-08",3.667954,
"AUT","CPI","TOT","AGRWTH","M","2008-09",3.757226,
"AUT","CPI","TOT","AGRWTH","M","2008-10",3.065134,
"AUT","CPI","TOT","AGRWTH","M","2008-11",2.287893,
"AUT","CPI","TOT","AGRWTH","M","2008-12",1.324503,
"AUT","CPI","TOT","AGRWTH","M","2009-01",1.234568,
"AUT","CPI","TOT","AGRWTH","M","2009-02",1.325758,
"AUT","CPI","TOT","AGRWTH","M","2009-03",0.7518797,
"AUT","CPI","TOT","AGRWTH","M","2009-04",0.656045,
"AUT","CPI","TOT","AGRWTH","M","2009-05",0.2793296,
"AUT","CPI","TOT","AGRWTH","M","2009-06",-0.09285051,
