"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",98.24526,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",98.27183,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",98.34642,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",98.45541,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",98.58473,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.74226,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.94774,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",99.21999,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.53038,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.84919,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",100.1381,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.3591,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.4676,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.449,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",100.3529,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",100.2368,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",100.1396,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",100.0579,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",100.0673,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",100.2179,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.5639,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.1208,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",101.735,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",102.2343,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",102.5072,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-01",102.4922,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-02",102.2516,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-03",101.9048,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-04",101.5313,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-05",101.1941,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-06",100.9219,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-07",100.7234,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-08",100.5957,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-09",100.512,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-10",100.446,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-11",100.4049,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-12",100.4056,
