Date,NGE,EGPT,GXC,NORW,EPU,VNM,THD,ECH,PGAL,KSA,EWO,EWS,EWH,EWJ,ENZL,EUSA,EWI,EWQ,EWC,EWM,EIRL,EWY,EWN,EWZ,EWA,EWT,EWG,EWU,EZA,EWD,EWK,PIN,GXG,PLND,EWL,EIS,EWP,GREK,UAE,QAT,EPHE,EWW,IDX,TUR
2000-11-30,,,,,,,,,,,7.0,13.125,10.5,47.0,,,45.25,22.875,13.1875,22.0,,12.625,21.875,14.4375,9.0625,22.75,18.1875,34.5,,17.1875,11.8125,,,,15.1875,,21.3125,,,,,14.25,,
2000-12-01,,,,,,,,,,,7.0,13.125,11.0,48.5,,,44.375,23.0625,13.4375,21.75,,12.8125,22.3125,14.4375,9.25,23.25,18.625,34.25,,18.125,12.0625,,,,15.5,,21.75,,,,,14.1875,,
2000-12-04,,,,,,,,,,,7.1875,13.25,11.0,47.75,,,43.75,22.875,13.5,21.5,,12.4375,22.375,14.375,9.5625,22.25,18.625,34.625,,18.0,12.3125,,,,15.8125,,21.5625,,,,,13.4375,,
2000-12-05,,,,,,,,,,,7.125,13.625,11.1875,47.75,,,44.125,23.25,13.875,21.75,,13.25,22.4375,14.375,9.375,23.0,18.8125,35.0,,18.3125,12.4375,,,,16.0,,22.375,,,,,14.0625,,
2000-12-06,,,,,,,,,,,7.1875,13.25,11.0625,47.75,,,44.125,23.625,14.25,22.25,,12.875,22.4375,15.125,9.625,22.25,19.0,35.25,,19.3125,12.375,,,,15.9375,,22.625,,,,,14.25,,
2000-12-07,,,,,,,,,,,7.1875,13.25,11.25,47.25,,,43.75,23.5625,14.0,22.25,,13.25,22.5,15.3125,9.625,22.25,18.875,35.125,,18.75,12.3125,,,,16.0,,22.625,,,,,14.375,,
2000-12-08,,,,,,,,,,,7.1875,13.5,11.5625,47.25,,,43.625,23.4375,14.5,22.0,,13.75,22.25,15.875,9.5625,23.0,19.0,35.125,,19.0,12.5,,,,15.6875,,22.5,,,,,14.4375,,
2000-12-11,,,,,,,,,,,7.1875,14.0,11.8125,48.75,,,43.75,23.75,14.5,22.0,,14.125,22.25,16.1875,9.5,23.25,19.125,36.375,,19.5625,12.5,,,,15.75,,23.0625,,,,,14.5,,
2000-12-12,,,,,,,,,,,7.1875,13.625,11.5,48.0,,,43.875,23.4375,14.3125,21.75,,13.5,22.1875,16.25,9.5625,23.25,19.0,36.0,,19.1875,12.1875,,,,15.5625,,23.0,,,,,14.25,,
2000-12-13,,,,,,,,,,,7.1875,13.625,11.5,47.5,,,43.25,23.375,13.9375,21.5,,14.0625,21.75,16.0,9.375,23.5,18.6875,35.5,,18.5,12.125,,,,15.5625,,22.75,,,,,14.1875,,
