Date,NGE,EGPT,GXC,NORW,EPU,VNM,THD,ECH,PGAL,KSA,EWO,EWS,EWH,EWJ,ENZL,EUSA,EWI,EWQ,EWC,EWM,EIRL,EWY,EWN,EWZ,EWA,EWT,EWG,EWU,EZA,EWD,EWK,PIN,GXG,PLND,EWL,EIS,EWP,GREK,UAE,QAT,EPHE,EWW,IDX,TUR
2000-11-30,,,,,,,,,,,7.125,13.125,10.8125,47.5,,,45.875,23.125,13.3125,22.0,,12.625,22.0,14.4375,9.1875,22.75,18.4375,34.5,,17.5,12.0,,,,15.5,,21.625,,,,,14.6875,,
2000-12-01,,,,,,,,,,,7.0,13.625,11.1875,48.5,,,45.5,23.0625,13.4375,22.0,,12.8125,22.3125,14.4375,9.4375,23.375,18.6875,34.875,,18.125,12.125,,,,15.625,,21.75,,,,,14.1875,,
2000-12-04,,,,,,,,,,,7.3125,13.25,11.125,48.25,,,44.25,23.0,13.5625,21.75,,12.4375,22.375,14.375,9.625,22.5,18.625,35.25,,18.0,12.4375,,,,15.9375,,21.875,,,,,13.9375,,
2000-12-05,,,,,,,,,,,7.1875,13.75,11.5,48.25,,,44.375,23.5,13.875,22.5,,13.25,22.4375,14.375,9.5625,23.0,19.0625,35.5,,18.5625,12.4375,,,,16.0625,,22.5,,,,,14.375,,
2000-12-06,,,,,,,,,,,7.1875,13.75,11.375,48.25,,,44.25,23.6875,14.25,22.5,,13.125,22.4375,15.125,9.625,22.625,19.1875,35.375,,19.3125,12.5625,,,,16.0625,,22.625,,,,,14.5,,
2000-12-07,,,,,,,,,,,7.1875,13.375,11.25,47.75,,,44.0,23.625,14.0625,22.5,,13.3125,22.5,15.3125,9.625,22.25,19.0,35.25,,18.9375,12.3125,,,,16.0625,,22.875,,,,,14.4375,,
2000-12-08,,,,,,,,,,,7.1875,13.5,11.625,47.75,,,44.125,24.25,14.5,22.5,,13.75,22.5,15.875,9.5625,23.0,19.1875,35.875,,19.4375,12.5,,,,16.0625,,22.75,,,,,14.75,,
2000-12-11,,,,,,,,,,,7.1875,14.0,11.8125,48.75,,,43.875,23.75,14.75,22.0,,14.25,22.4375,16.1875,9.5625,23.25,19.3125,36.375,,19.5625,12.5625,,,,15.8125,,23.0625,,,,,14.5625,,
2000-12-12,,,,,,,,,,,7.1875,13.875,11.5625,48.25,,,43.875,23.5625,14.4375,21.75,,13.9375,22.1875,16.3125,9.5625,23.5,19.1875,36.0,,19.25,12.1875,,,,15.9375,,23.0,,,,,14.4375,,
2000-12-13,,,,,,,,,,,7.1875,14.0,11.75,48.25,,,43.875,23.5,14.25,22.0,,14.125,22.0625,16.0,9.5625,23.5,18.875,36.0,,18.8125,12.3125,,,,15.8125,,23.0,,,,,14.5,,
2000-12-14,,,,,,,,,,,7.25,13.625,11.625,47.75,,,43.5,23.4375,14.0,21.25,,13.75,21.875,16.25,9.5,23.0,18.6875,36.125,,18.75,12.25,,,,15.6875,,22.75,,,,,14.375,,
2000-12-15,,,,,,,,,,,7.25,13.375,11.25,47.0,,,43.0,23.375,13.625,21.25,,13.5,21.625,16.0625,9.4375,22.5,18.625,35.75,,18.4375,12.3125,,,,15.875,,22.5,,,,,14.0,,
2000-12-18,,,,,,,,,,,7.25,13.75,11.375,47.25,,,43.25,23.5625,13.6875,21.25,,13.75,21.625,16.375,9.4375,22.125,18.625,35.75,,18.25,12.125,,,,16.0625,,22.125,,,,,14.0,,
2000-12-19,,,,,,,,,,,7.25,13.75,11.5625,46.25,,,43.25,23.6875,13.625,21.25,,13.5,21.75,16.375,9.5,21.875,18.625,35.25,,18.375,12.125,,,,16.0625,,22.4375,,,,,14.0,,
2000-12-20,,,,,,,,,,,7.3125,13.25,11.1875,44.5,,,43.25,23.4375,13.0,21.0,,12.875,21.5,15.8125,9.4375,21.5,18.5,34.875,,17.375,12.25,,,,15.875,,22.25,,,,,13.5,,
2000-12-21,,,,,,,,,,,7.1875,13.0,11.375,44.25,,,42.75,23.5,12.875,21.0,,12.75,22.0,15.8125,9.4375,20.625,18.5,34.875,,17.6875,12.6875,,,,16.125,,22.5,,,,,13.0625,,
2000-12-22,,,,,,,,,,,7.375,13.375,11.5625,44.75,,,44.0,23.9375,12.9375,21.0,,12.4375,22.375,15.875,9.5,20.875,18.8125,35.0,,17.875,12.75,,,,16.4375,,22.875,,,,,13.1875,,
2000-12-26,,,,,,,,,,,7.625,13.125,11.4375,44.75,,,44.0,24.0,13.0625,20.75,,12.25,22.375,15.5,9.4375,20.5,18.875,35.5,,17.875,12.875,,,,16.5625,,22.9375,,,,,13.375,,
2000-12-27,,,,,,,,,,,7.625,12.875,11.4375,44.5,,,44.625,24.25,13.0,20.5,,12.25,22.625,15.875,9.5625,20.0,19.1875,35.875,,18.125,12.875,,,,16.6875,,22.9375,,,,,13.4375,,
2000-12-28,,,,,,,,,,,7.6875,12.875,11.5,44.5,,,45.0,24.5,13.25,20.5,,12.3125,23.0,16.375,9.625,21.25,19.1875,36.0,,18.125,12.9375,,,,16.875,,23.0,,,,,13.5625,,
2000-12-29,,,,,,,,,,,7.6875,13.25,11.75,44.75,,,45.25,24.875,13.4375,20.5,,12.25,22.8125,16.5,9.5,21.375,19.625,35.875,,18.1875,13.0,,,,16.8125,,23.0625,,,,,13.5625,,
2001-01-02,,,,,,,,,,,7.75,13.125,11.5625,44.5,,,45.25,24.8125,13.5,20.25,,12.625,23.125,16.875,9.75,21.625,19.625,36.0,,18.125,13.0625,,,,17.0,,23.5625,,,,,13.625,,
2001-01-03,,,,,,,,,,,7.6875,13.625,12.0625,46.25,,,44.75,24.4375,13.375,20.0,,13.8125,23.375,18.0,9.9375,23.625,20.125,37.125,,18.0,13.0625,,,,17.75,,24.75,,,,,14.0625,,
2001-01-04,,,,,,,,,,,7.75,13.5,12.0,44.75,,,44.75,24.4375,13.5,19.5,,13.6875,23.1875,17.9375,10.0,23.0,19.8125,36.0,,18.1875,13.0625,,,,17.125,,25.0,,,,,14.25,,
