Date,NGE,EGPT,GXC,NORW,EPU,VNM,THD,ECH,PGAL,KSA,EWO,EWS,EWH,EWJ,ENZL,EUSA,EWI,EWQ,EWC,EWM,EIRL,EWY,EWN,EWZ,EWA,EWT,EWG,EWU,EZA,EWD,EWK,PIN,GXG,PLND,EWL,EIS,EWP,GREK,UAE,QAT,EPHE,EWW,IDX,TUR
2000-11-30,,,,,,,,,,,7.0,12.625,10.4375,46.75,,,45.125,22.8125,13.0,21.75,,12.375,21.875,14.4375,9.0625,22.375,18.1875,33.875,,17.0,11.8125,,,,15.1875,,21.3125,,,,,13.9375,,
2000-12-01,,,,,,,,,,,7.0,13.0,10.875,48.0,,,44.25,22.9375,13.4375,21.5,,12.625,22.0,14.4375,9.25,23.0,18.3125,34.125,,17.75,12.0625,,,,15.3125,,21.75,,,,,13.8125,,
2000-12-04,,,,,,,,,,,7.125,12.875,10.9375,47.5,,,43.75,22.8125,13.3125,21.25,,12.375,22.125,14.375,9.375,22.125,18.4375,34.375,,17.75,12.3125,,,,15.625,,21.5625,,,,,13.4375,,
2000-12-05,,,,,,,,,,,7.125,13.125,11.0625,47.25,,,43.875,23.0625,13.4375,21.75,,12.875,22.3125,14.375,9.3125,22.5,18.8125,34.75,,17.75,12.1875,,,,15.6875,,22.1875,,,,,13.8125,,
2000-12-06,,,,,,,,,,,7.1875,13.25,11.0625,47.5,,,44.0,23.4375,13.875,22.0,,12.875,22.0,15.125,9.4375,22.125,18.9375,34.5,,18.5625,12.1875,,,,15.625,,22.25,,,,,14.0,,
2000-12-07,,,,,,,,,,,7.1875,13.125,11.125,47.25,,,43.75,23.5,13.875,21.75,,13.25,22.25,15.0625,9.5625,22.25,18.8125,34.75,,18.625,12.3125,,,,15.75,,22.5,,,,,13.875,,
2000-12-08,,,,,,,,,,,7.125,13.25,11.25,47.25,,,43.625,23.125,14.0,22.0,,13.625,22.25,15.875,9.4375,22.875,18.875,34.625,,18.8125,12.5,,,,15.6875,,22.5,,,,,14.375,,
2000-12-11,,,,,,,,,,,7.1875,13.625,11.5,48.0,,,43.5,23.625,14.5,22.0,,14.0,22.25,16.1875,9.4375,23.0,19.0625,35.75,,19.0,12.1875,,,,15.625,,22.75,,,,,14.1875,,
2000-12-12,,,,,,,,,,,7.125,13.625,11.375,47.75,,,43.375,23.375,14.3125,21.5,,13.5,21.875,16.25,9.4375,23.25,19.0,35.25,,18.9375,12.125,,,,15.5,,22.8125,,,,,14.1875,,
2000-12-13,,,,,,,,,,,7.1875,13.625,11.5,47.5,,,43.25,23.1875,13.9375,21.5,,13.875,21.75,15.8125,9.375,23.125,18.6875,35.5,,18.5,12.125,,,,15.5625,,22.75,,,,,13.9375,,
