Date,NGE,EGPT,GXC,NORW,EPU,VNM,THD,ECH,PGAL,KSA,EWO,EWS,EWH,EWJ,ENZL,EUSA,EWI,EWQ,EWC,EWM,EIRL,EWY,EWN,EWZ,EWA,EWT,EWG,EWU,EZA,EWD,EWK,PIN,GXG,PLND,EWL,EIS,EWP,GREK,UAE,QAT,EPHE,EWW,IDX,TUR
2000-11-30,,,,,,,,,,,7.0625,13.125,10.5625,47.25,,,45.875,23.125,13.3125,21.75,,12.375,21.875,14.4375,9.1875,22.375,18.3125,34.25,,17.5,11.8125,,,,15.5,,21.625,,,,,14.6875,,
2000-12-01,,,,,,,,,,,7.0,13.625,11.1875,48.25,,,45.5,22.9375,13.4375,21.75,,12.625,22.0,14.4375,9.4375,23.0,18.3125,34.875,,17.75,12.125,,,,15.3125,,21.75,,,,,13.8125,,
2000-12-04,,,,,,,,,,,7.125,13.125,11.125,48.25,,,44.0,23.0,13.375,21.5,,12.375,22.125,14.375,9.5,22.25,18.5,34.875,,17.75,12.4375,,,,15.875,,21.875,,,,,13.75,,
2000-12-05,,,,,,,,,,,7.125,13.125,11.1875,47.5,,,44.125,23.125,13.4375,21.75,,12.9375,22.3125,14.375,9.5,22.75,18.8125,35.5,,17.75,12.1875,,,,15.6875,,22.3125,,,,,13.9375,,
2000-12-06,,,,,,,,,,,7.1875,13.625,11.375,47.5,,,44.25,23.5,13.875,22.0,,13.125,22.0625,15.125,9.5,22.125,19.0,34.625,,18.5625,12.1875,,,,15.875,,22.25,,,,,14.0625,,
2000-12-07,,,,,,,,,,,7.1875,13.375,11.25,47.75,,,44.0,23.625,14.0625,22.0,,13.25,22.4375,15.0625,9.5625,22.25,19.0,35.125,,18.8125,12.3125,,,,16.0625,,22.5,,,,,14.0625,,
2000-12-08,,,,,,,,,,,7.125,13.375,11.4375,47.75,,,43.75,24.125,14.0,22.0,,13.625,22.4375,15.875,9.5,22.875,19.0,35.875,,19.4375,12.5,,,,16.0625,,22.6875,,,,,14.4375,,
2000-12-11,,,,,,,,,,,7.1875,13.625,11.5,48.25,,,43.5,23.625,14.75,22.0,,14.0,22.25,16.1875,9.5,23.125,19.1875,36.0,,19.0,12.1875,,,,15.625,,22.75,,,,,14.1875,,
2000-12-12,,,,,,,,,,,7.125,13.625,11.5625,48.0,,,43.5,23.4375,14.4375,21.75,,13.9375,22.125,16.3125,9.5625,23.5,19.0625,35.5,,19.25,12.1875,,,,15.625,,22.875,,,,,14.1875,,
2000-12-13,,,,,,,,,,,7.1875,13.75,11.75,48.0,,,43.5,23.375,14.25,21.5,,14.0625,21.8125,15.9375,9.5625,23.125,18.875,36.0,,18.5625,12.25,,,,15.8125,,23.0,,,,,14.5,,
