Date,NGE,EGPT,GXC,NORW,EPU,VNM,THD,ECH,PGAL,KSA,EWO,EWS,EWH,EWJ,ENZL,EUSA,EWI,EWQ,EWC,EWM,EIRL,EWY,EWN,EWZ,EWA,EWT,EWG,EWU,EZA,EWD,EWK,PIN,GXG,PLND,EWL,EIS,EWP,GREK,UAE,QAT,EPHE,EWW,IDX,TUR
2000-11-30,,,,,,,,,,,3600,29900,57900,71500,,,113000,14100,40200,9800,,35500,5600,13900,4900,1600,55900,6800,,2400,3000,,,,22800,,4000,,,,,52200,,
2000-12-01,,,,,,,,,,,2000,13300,44400,69000,,,49300,28000,2300,22700,,16400,15000,0,12000,4500,122300,60100,,2500,3600,,,,26500,,1600,,,,,9900,,
2000-12-04,,,,,,,,,,,3800,31900,9100,62800,,,16400,32600,13400,34200,,5700,4300,400,24200,30400,18500,43900,,30300,4000,,,,13500,,2400,,,,,36500,,
2000-12-05,,,,,,,,,,,15400,92300,159200,347400,,,25800,233900,19300,15500,,77800,3300,0,72900,28500,118800,159600,,16400,2400,,,,275500,,50700,,,,,23200,,
2000-12-06,,,,,,,,,,,13800,17600,54800,142600,,,8300,19500,28300,15800,,55500,22000,1900,22300,63400,64300,33000,,32900,12200,,,,27600,,20500,,,,,20100,,
2000-12-07,,,,,,,,,,,1700,12700,19000,141800,,,200,10800,15200,10100,,33200,1300,4400,3800,0,41300,143700,,9500,300,,,,12200,,6700,,,,,21500,,
2000-12-08,,,,,,,,,,,10500,13700,97000,961300,,,8000,42600,6500,30500,,58000,3600,43500,7800,34200,25700,144500,,2900,1000,,,,8100,,2600,,,,,111100,,
2000-12-11,,,,,,,,,,,6400,10700,36400,88900,,,18700,100600,19400,6000,,11100,39200,3700,15100,37600,195400,140400,,3200,5600,,,,5600,,19600,,,,,13100,,
2000-12-12,,,,,,,,,,,6200,11400,22600,166800,,,1300,28200,22100,1600,,11700,72300,3500,8400,4300,63900,42800,,31700,4700,,,,21900,,2700,,,,,9000,,
2000-12-13,,,,,,,,,,,400,40000,30100,117200,,,22700,36300,22900,1800,,72600,28900,39900,2100,33500,44200,40500,,32600,23700,,,,15300,,8300,,,,,112500,,
2000-12-14,,,,,,,,,,,7000,11600,72800,54100,,,2200,7300,32800,33700,,27500,8400,5300,7500,13000,50500,55200,,3900,4600,,,,7500,,7900,,,,,12500,,
2000-12-15,,,,,,,,,,,7700,21300,16900,528000,,,16000,99000,34200,6200,,10200,38000,700,45800,42600,584300,194200,,28000,53600,,,,49200,,9400,,,,,65800,,
2000-12-18,,,,,,,,,,,1000,70600,57000,498700,,,16300,40900,2500,9200,,18900,3900,700,6300,4800,331200,210900,,226200,1300,,,,123500,,29100,,,,,13300,,
2000-12-19,,,,,,,,,,,1600,11200,43100,231000,,,15700,40200,29400,4800,,17800,17100,600,3100,1100,250500,100000,,14900,0,,,,27500,,6400,,,,,24700,,
2000-12-20,,,,,,,,,,,100,48200,118200,262300,,,8900,34500,5800,12500,,3200,8500,700,7600,13200,55100,27900,,1700,400,,,,7700,,5800,,,,,29300,,
